iter	Logloss
0	0.6789227244
1	0.667610873
2	0.6552713799
3	0.645392022
4	0.6347765372
5	0.6247078288
6	0.6175146664
7	0.6114918071
8	0.6062874233
9	0.5995721752
10	0.593516685
11	0.5887730682
12	0.5835436951
13	0.5791268267
14	0.5751558806
15	0.5717394095
16	0.5662631085
17	0.5622052247
18	0.5596354632
19	0.5561855848
20	0.5536411384
21	0.5514151798
22	0.5485534814
23	0.54593768
24	0.5437752961
25	0.5417900122
26	0.5398532991
27	0.5382444064
28	0.5365179201
29	0.5348133774
30	0.532958512
31	0.5309871825
32	0.5295736843
33	0.5283689593
34	0.5269555326
35	0.5252712661
36	0.5241738336
37	0.5223410894
38	0.5212052319
39	0.5196500171
40	0.5184870214
41	0.517404381
42	0.516663188
43	0.5157249398
44	0.5150207923
45	0.5140115278
46	0.5131840768
47	0.5119299634
48	0.5111905748
49	0.5103560309
50	0.5094754826
51	0.5089028484
52	0.5082993312
53	0.5077472508
54	0.5072909218
55	0.5067564281
56	0.5057756568
57	0.5050982222
58	0.5047417416
59	0.5038779493
60	0.5034698043
61	0.5031026515
62	0.502747317
63	0.5024593147
64	0.5019360354
65	0.5015009562
66	0.5009788592
67	0.5006458438
68	0.5003760601
69	0.5000588498
70	0.4994732303
71	0.4992796459
72	0.4989098587
73	0.4986766902
74	0.4983034404
75	0.4981083108
76	0.4977646171
77	0.4975776538
78	0.4972983333
79	0.496947517
80	0.4967661735
81	0.4965824133
82	0.4964431619
83	0.4963039838
84	0.4960350702
85	0.4958346764
86	0.4957131574
87	0.4956034384
88	0.4954327821
89	0.4952661488
90	0.4950966154
91	0.4949835909
92	0.4947251427
93	0.4945410641
94	0.4944306737
95	0.494314168
96	0.4942011905
97	0.4941209473
98	0.4940489555
99	0.4939346867
100	0.4938194998
101	0.4937531394
102	0.4936545655
103	0.4935636493
104	0.4934583464
105	0.4932806032
106	0.4931905657
107	0.4931001364
108	0.4930292425
109	0.4929471579
110	0.4927988038
111	0.4927507261
112	0.4926927773
113	0.4925946586
114	0.492544749
115	0.4924806081
116	0.4923171599
117	0.4922222965
118	0.4921787358
119	0.4921304062
120	0.4920725647
121	0.4920169425
122	0.4919644332
123	0.491913679
124	0.4918484429
125	0.491798198
126	0.4917367312
127	0.4917146347
128	0.4915509019
129	0.4915007935
130	0.4914490998
131	0.4913996345
132	0.4912665511
133	0.4911648906
134	0.4910224153
135	0.4909671137
136	0.4909013798
137	0.4908485875
138	0.4908133837
139	0.4907089394
140	0.4906676288
141	0.4906080581
142	0.4905688276
143	0.4905366227
144	0.4904975784
145	0.4904658889
146	0.490421767
147	0.4903912722
148	0.4903569181
149	0.4903043568
150	0.4902685402
151	0.4901574117
152	0.49012377
153	0.4900795934
154	0.4900528451
155	0.4900136494
156	0.4898995566
157	0.4898467382
158	0.4898174018
159	0.489779459
160	0.4897520475
161	0.489718888
162	0.4896900061
163	0.4896003617
164	0.489563494
165	0.4895216825
166	0.4894497027
167	0.48942206
168	0.4893984117
169	0.4893620926
170	0.4893314428
171	0.4892980382
172	0.4892650294
173	0.4892390476
174	0.4891555462
175	0.4891340308
176	0.4891070377
177	0.489073082
178	0.4890397896
179	0.4890090933
180	0.4889363426
181	0.4889122567
182	0.4888814173
183	0.488863441
184	0.4888432478
185	0.488806721
186	0.4887803237
187	0.4887603152
188	0.4887380749
189	0.4887201937
190	0.4886762618
191	0.4886565015
192	0.4886310326
193	0.4886115441
194	0.4885893578
195	0.488570362
196	0.4885473748
197	0.4885170558
198	0.4884889613
199	0.4884750906
200	0.4884460688
201	0.4884226592
202	0.4883660827
203	0.4883442042
204	0.4883301193
205	0.4883118596
206	0.4882907774
207	0.4882714334
208	0.488212024
209	0.4881966975
210	0.4881840609
211	0.4881706645
212	0.4881554015
213	0.4881393915
214	0.4881157096
215	0.4880903603
216	0.4880457672
217	0.4880180906
218	0.4879890408
219	0.4879793741
220	0.4879585483
221	0.4879435885
222	0.4879174073
223	0.4878772179
224	0.4878596535
225	0.4878271959
226	0.4877907125
227	0.4877505134
228	0.4877348436
229	0.4877172505
230	0.4877144808
231	0.4876980283
232	0.4876845425
233	0.4876621909
234	0.4876445275
235	0.4876288434
236	0.4876135071
237	0.4875936871
238	0.4875710108
239	0.4875504088
240	0.4875320484
241	0.4875172494
242	0.4875094165
243	0.4874930979
244	0.487480144
245	0.4874524685
246	0.4874421634
247	0.4874291572
248	0.4874128507
249	0.487406495
250	0.4873670018
251	0.4873518937
252	0.4873388726
253	0.4873102026
254	0.4872939299
255	0.4872927126
256	0.4872619151
257	0.4872461001
258	0.4872311861
259	0.487217676
260	0.487199689
261	0.4871827501
262	0.4871727517
263	0.4871651604
264	0.4871482441
265	0.4871242411
266	0.4871122057
267	0.4871109122
268	0.487101067
269	0.4870823762
270	0.4870677179
271	0.4870591612
272	0.487046096
273	0.4870331694
274	0.487023534
275	0.4869976825
276	0.4869674
277	0.4869572803
278	0.4869467582
279	0.4869366951
280	0.4869260111
281	0.4869107088
282	0.486893428
283	0.4868866296
284	0.4868791844
285	0.4868701239
286	0.4868576721
287	0.4868501743
288	0.48682891
289	0.4868116121
290	0.4867990604
291	0.4867871961
292	0.4867625339
293	0.4867446995
294	0.4867314158
295	0.4867234569
296	0.4867059225
297	0.4866912785
298	0.4866835061
299	0.4866705188
300	0.4866578063
301	0.4866448301
302	0.4866349376
303	0.4866240893
304	0.4866107168
305	0.4865861259
306	0.4865687834
307	0.4865608532
308	0.486551053
309	0.4865442705
310	0.4865304274
311	0.4865100315
312	0.48649987
313	0.4864927704
314	0.486481772
315	0.4864678988
316	0.486453722
317	0.486446495
318	0.4864322008
319	0.4864220045
320	0.4864118097
321	0.4863999561
322	0.4863922852
323	0.4863849267
324	0.4863738357
325	0.4863617849
326	0.486349395
327	0.4863389941
328	0.4863274014
329	0.4863181425
330	0.4863054455
331	0.4862932061
332	0.486286048
333	0.4862713951
334	0.4862602094
335	0.4862589155
336	0.486248325
337	0.4862408199
338	0.4862319117
339	0.486217719
340	0.486208836
341	0.4861987042
342	0.4861944493
343	0.4861883226
344	0.4861785022
345	0.4861704439
346	0.486155317
347	0.4861473883
348	0.4861391992
349	0.4861255137
350	0.4861181505
351	0.4861039659
352	0.4860951617
353	0.4860839635
354	0.4860679823
355	0.4860562247
356	0.4860495861
357	0.4860425704
358	0.4860349591
359	0.4860239316
360	0.4860185246
361	0.4860054403
362	0.4859975176
363	0.4859880913
364	0.4859857742
365	0.4859816577
366	0.4859700669
367	0.485957635
368	0.4859469578
369	0.4859375467
370	0.4859210616
371	0.4859138953
