iter	Passed	Remaining
0	243	243007
1	440	219724
2	614	204210
3	821	204617
4	981	195219
5	1189	197021
6	1414	200599
7	1644	203925
8	1854	204246
9	2057	203706
10	2264	203591
11	2468	203216
12	2644	200741
13	2833	199585
14	3018	198244
15	3211	197535
16	3402	196720
17	3592	196006
18	3796	196006
19	3952	193652
20	4141	193087
21	4339	192930
22	4478	190228
23	4567	185727
24	4757	185527
25	4928	184617
26	5137	185127
27	5364	186213
28	5544	185655
29	5736	185485
30	5926	185243
31	6110	184833
32	6267	183665
33	6458	183510
34	6659	183614
35	6845	183306
36	6899	179575
37	7082	179293
38	7265	179028
39	7486	179675
40	7582	177358
41	7758	176974
42	7933	176558
43	8124	176521
44	8314	176457
45	8496	176210
46	8687	176156
47	8866	175860
48	9069	176023
49	9262	175986
50	9482	176444
51	9705	176939
52	9884	176608
53	9974	174733
54	10173	174800
55	10375	174904
56	10571	174887
57	10753	174649
58	10948	174620
59	11124	174289
60	11316	174202
61	11504	174047
62	11710	174170
63	11888	173874
64	12088	173893
65	12306	174149
66	12522	174375
67	12719	174334
68	12917	174299
69	13122	174335
70	13336	174495
71	13550	174657
72	13731	174376
73	13912	174092
74	14116	174099
75	14293	173774
76	14520	174058
77	14691	173662
78	14886	173552
79	15062	173215
80	15256	173099
81	15453	172998
82	15661	173025
83	15867	173034
84	16084	173139
85	16298	173215
86	16490	173053
87	16714	173227
88	16910	173097
89	17122	173123
90	17305	172867
91	17520	172917
92	17728	172902
93	17943	172945
94	18131	172725
95	18318	172500
96	18562	172803
97	18624	171419
98	18866	171701
99	19057	171516
100	19259	171426
101	19463	171351
102	19685	171435
103	19885	171322
104	20100	171332
105	20308	171279
106	20517	171232
107	20720	171132
108	20916	170974
109	21164	171241
110	21378	171220
111	21580	171099
112	21771	170897
113	21949	170593
114	22183	170717
115	22735	173256
116	22997	173561
117	23247	173768
118	23538	174261
119	23776	174357
120	24016	174466
121	24226	174352
122	24448	174319
123	24652	174160
124	24705	172938
125	24932	172946
126	25148	172871
127	25315	172463
128	25514	172271
129	25750	172331
130	25833	171368
131	25963	170731
132	26214	170885
133	26445	170906
134	26636	170671
135	26848	170567
136	27076	170562
137	27291	170475
138	27510	170409
139	27718	170268
140	27877	169832
141	27929	168756
142	28124	168552
143	28346	168502
144	28565	168435
145	28753	168186
146	28934	167900
147	29107	167564
148	29210	166834
149	29421	166721
150	29620	166539
151	29845	166506
152	30039	166296
153	30238	166117
154	30447	165985
155	30663	165896
156	30865	165731
157	31069	165575
158	31254	165313
159	31457	165152
160	31670	165038
161	31857	164793
162	32073	164694
163	32284	164573
164	32476	164349
165	32670	164141
166	32731	163267
167	32801	162443
168	33002	162280
169	33227	162230
170	33408	161962
171	33603	161767
172	33801	161581
173	34015	161473
174	34239	161414
175	34442	161255
176	34668	161199
177	34844	160910
178	35037	160701
179	35245	160564
180	35468	160492
181	35677	160351
182	35892	160242
183	36133	160242
184	36217	159552
185	36454	159539
186	36675	159449
187	36887	159320
188	37088	159148
189	37281	158935
190	37475	158731
191	37692	158624
192	37904	158492
193	38108	158328
194	38321	158198
195	38521	158015
196	38742	157920
197	38935	157708
198	39183	157718
199	39407	157630
200	39643	157587
201	39850	157429
202	40065	157301
203	40174	156760
204	40405	156694
205	40642	156650
206	40835	156435
207	41088	156450
208	41208	155963
209	41451	155937
210	41800	156304
211	41975	156021
212	42223	156008
213	42452	155925
214	42680	155833
215	42869	155598
216	43084	155461
217	43314	155375
218	43539	155270
219	43761	155152
220	43969	154987
221	44193	154875
222	44377	154624
223	44621	154582
224	44890	154621
225	45100	154459
226	45304	154274
227	45526	154152
228	45715	153914
229	45938	153794
230	46156	153655
231	46367	153492
232	46567	153293
233	46788	153162
234	47007	153025
235	47218	152858
236	47452	152767
237	47655	152578
238	47883	152466
239	48116	152370
240	48349	152271
241	48577	152156
242	48781	151965
243	48934	151616
244	49160	151493
245	49362	151299
246	49587	151170
247	49746	150843
248	49968	150706
249	50196	150590
250	50391	150371
251	50602	150200
252	50816	150039
253	51008	149813
254	51235	149688
255	51448	149521
256	51662	149358
257	51902	149269
258	52117	149107
259	52339	148966
260	52554	148803
261	52758	148609
262	52934	148336
263	53152	148182
264	53330	147915
265	53538	147733
266	53760	147590
267	53977	147430
268	54192	147267
269	54396	147071
270	54608	146898
271	54832	146756
272	55060	146626
273	55271	146448
274	55504	146328
275	55714	146149
276	55950	146038
277	56153	145836
278	56355	145634
279	56550	145416
280	56732	145161
281	56928	144945
282	57142	144774
283	57362	144617
284	57554	144390
285	57748	144168
286	57963	143999
287	58152	143767
288	58379	143624
289	58594	143455
290	58785	143227
291	58975	142994
292	59178	142795
293	59406	142655
294	59626	142497
295	59818	142270
296	60024	142078
297	60211	141839
298	60433	141685
299	60643	141501
300	60855	141323
301	61070	141149
302	61316	141048
303	61537	140887
304	61747	140704
305	61968	140542
306	62151	140296
307	62381	140156
308	62584	139953
309	62834	139856
310	63069	139727
311	63341	139676
312	63551	139488
313	63816	139420
314	64060	139307
315	64282	139142
316	64480	138928
317	64685	138728
318	64902	138553
319	65143	138429
320	65338	138207
321	65555	138032
322	65760	137832
323	65952	137605
324	66147	137384
325	66400	137282
326	66612	137096
327	66831	136923
328	67065	136780
329	67282	136602
330	67514	136457
331	67735	136286
332	67973	136151
333	68195	135982
334	68402	135783
335	68649	135663
336	68874	135501
337	69066	135272
338	69318	135160
339	69565	135038
340	69793	134879
341	70018	134713
342	70231	134525
343	70546	134531
344	70800	134417
345	71021	134242
346	71241	134065
347	71473	133909
348	71665	133680
349	71883	133497
350	72106	133325
351	72344	133179
352	72545	132966
353	72750	132759
354	72986	132609
355	73206	132429
356	73397	132197
357	73611	132007
358	73836	131835
359	74041	131628
360	74256	131439
361	74449	131211
362	74653	131004
363	74893	130857
364	75130	130707
365	75337	130502
366	75576	130354
367	75785	130153
368	75984	129935
369	76168	129692
370	76369	129478
371	76556	129240
372	76759	129029
373	76967	128828
374	77175	128625
375	77390	128435
376	77592	128222
377	77808	128033
378	78064	127910
